Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z95320,Escalon,CA,California,San Joaquin,13018
Z95321,Groveland,CA,California,Tuolumne,3432
Z95322,Gustine,CA,California,Merced,8763
Z95323,Hickman,CA,California,Stanislaus,1077
Z95324,Hilmar,CA,California,Merced,7522
Z95325,Hornitos,CA,California,Mariposa,73
Z95326,Hughson,CA,California,Stanislaus,9790
Z95327,Jamestown,CA,California,Tuolumne,8202
Z95328,Keyes,CA,California,Stanislaus,5048
Z95329,La Grange,CA,California,Stanislaus,2846
Z95330,Lathrop,CA,California,San Joaquin,19596
Z95333,Le Grand,CA,California,Merced,2988
Z95334,Livingston,CA,California,Merced,16444
Z95335,Long Barn,CA,California,Tuolumne,364
Z95336,Manteca,CA,California,San Joaquin,47343
Z95337,Manteca,CA,California,San Joaquin,33432
Z95338,Mariposa,CA,California,Mariposa,10928
Z95340,Merced,CA,California,Merced,35309
Z95341,Merced,CA,California,Merced,33464
Z95345,Midpines,CA,California,Mariposa,422
Z95346,Mi Wuk Village,CA,California,Tuolumne,1842
Z95348,Merced,CA,California,Merced,33442
Z95350,Modesto,CA,California,Stanislaus,50908
Z95351,Modesto,CA,California,Stanislaus,49163
Z95354,Modesto,CA,California,Stanislaus,24838
Z95355,Modesto,CA,California,Stanislaus,59210
Z95356,Modesto,CA,California,Stanislaus,33370
Z95357,Modesto,CA,California,Stanislaus,11955
Z95358,Modesto,CA,California,Stanislaus,33194
Z95360,Newman,CA,California,Stanislaus,12139
Z95361,Oakdale,CA,California,Stanislaus,33163
Z95363,Patterson,CA,California,Stanislaus,25866
Z95364,Pinecrest,CA,California,Tuolumne,0
Z95365,Planada,CA,California,Merced,4666
Z95366,Ripon,CA,California,San Joaquin,16848
Z95367,Riverbank,CA,California,Stanislaus,24173
Z95368,Salida,CA,California,Stanislaus,13439
Z95369,Snelling,CA,California,Merced,956
Z95370,Sonora,CA,California,Tuolumne,27043
Z95372,Soulsbyville,CA,California,Tuolumne,1891
Z95374,Stevinson,CA,California,Merced,1851
Z95375,Strawberry,CA,California,Tuolumne,246
Z95376,Tracy,CA,California,San Joaquin,49582
Z95377,Tracy,CA,California,San Joaquin,32723
Z95379,Tuolumne,CA,California,Tuolumne,3895
Z95380,Turlock,CA,California,Stanislaus,41254
Z95382,Turlock,CA,California,Stanislaus,37497
Z95383,Twain Harte,CA,California,Tuolumne,3456
Z95385,Vernalis,CA,California,San Joaquin,508
Z95386,Waterford,CA,California,Stanislaus,10265
Z95387,Westley,CA,California,Stanislaus,609
Z95388,Winton,CA,California,Merced,14371
Z95389,Yosemite National Park,CA,California,Mariposa,1592
Z95391,Tracy,CA,California,San Joaquin,13185
Z95401,Santa Rosa,CA,California,Sonoma,38048
Z95403,Santa Rosa,CA,California,Sonoma,45596
Z95404,Santa Rosa,CA,California,Sonoma,41268
Z95405,Santa Rosa,CA,California,Sonoma,21695
Z95407,Santa Rosa,CA,California,Sonoma,40959
Z95409,Santa Rosa,CA,California,Sonoma,26586
Z95410,Albion,CA,California,Mendocino,946
Z95412,Annapolis,CA,California,Sonoma,382
Z95415,Boonville,CA,California,Mendocino,1245
Z95417,Branscomb,CA,California,Mendocino,219
Z95420,Caspar,CA,California,Mendocino,611
Z95421,Cazadero,CA,California,Sonoma,1474
Z95422,Clearlake,CA,California,Lake,15476
Z95423,Clearlake Oaks,CA,California,Lake,3260
Z95425,Cloverdale,CA,California,Sonoma,10597
Z95426,Cobb,CA,California,Lake,1544
Z95427,Comptche,CA,California,Mendocino,256
Z95428,Covelo,CA,California,Mendocino,2365
Z95429,Dos Rios,CA,California,Mendocino,74
Z95430,Duncans Mills,CA,California,Sonoma,0
Z95431,Eldridge,CA,California,Sonoma,621
Z95432,Elk,CA,California,Mendocino,421
Z95435,Finley,CA,California,Lake,334
Z95436,Forestville,CA,California,Sonoma,6052
Z95437,Fort Bragg,CA,California,Mendocino,14492
Z95439,Fulton,CA,California,Sonoma,779
Z95441,Geyserville,CA,California,Sonoma,1970
Z95442,Glen Ellen,CA,California,Sonoma,3118
Z95443,Glenhaven,CA,California,Lake,284
